,experiment,iter,noise_lvl,num_neurons_updated,patterns_imprinted(m),avg_recall_ratio,avg_hamming,avg_resemblance,avg_steps
60,0.0,3.0,0.0,0.1,1.0,1.0,0.0,100.0,0.0
61,0.0,3.0,0.0,0.1,2.0,1.0,0.0,100.0,0.0
62,0.0,3.0,0.0,0.1,3.0,1.0,0.0,100.0,0.0
63,0.0,3.0,0.0,0.1,4.0,0.75,12.75,97.36570247933884,0.5
64,0.0,3.0,0.0,0.1,5.0,0.4,31.0,93.59504132231406,1.4
65,0.0,3.0,0.0,0.1,6.0,0.16666666666666666,74.16666666666667,84.67630853994491,3.0
66,0.0,3.0,0.0,0.1,7.0,0.0,115.28571428571429,76.18063754427392,4.571428571428571
67,0.0,3.0,0.0,0.1,8.0,0.0,115.75,76.08471074380165,5.0
68,0.0,3.0,0.0,0.1,9.0,0.0,114.22222222222223,76.40036730945822,5.0
69,0.0,3.0,0.0,0.1,10.0,0.0,114.0,76.44628099173553,4.8
70,0.0,3.0,0.0,0.1,11.0,0.0,117.0909090909091,75.8076634109692,5.0
71,0.0,3.0,0.0,0.1,12.0,0.0,113.25,76.60123966942149,4.666666666666667
72,0.0,3.0,0.0,0.1,13.0,0.0,115.3076923076923,76.17609663064208,4.846153846153846
73,0.0,3.0,0.0,0.1,14.0,0.0,114.78571428571429,76.28394332939789,4.214285714285714
74,0.0,3.0,0.0,0.1,15.0,0.0,113.26666666666667,76.59779614325068,5.133333333333334
75,0.0,3.0,0.0,0.1,16.0,0.0,120.9375,75.0129132231405,5.8125
76,0.0,3.0,0.0,0.1,17.0,0.0,119.52941176470588,75.30384054448224,5.764705882352941
77,0.0,3.0,0.0,0.1,18.0,0.0,120.55555555555556,75.09182736455465,5.333333333333333
78,0.0,3.0,0.0,0.1,19.0,0.0,120.42105263157895,75.1196172248804,6.315789473684211
79,0.0,3.0,0.0,0.1,20.0,0.0,123.25,74.53512396694215,5.45
80,0.0,4.0,0.0,0.1,1.0,1.0,0.0,100.0,0.0
81,0.0,4.0,0.0,0.1,2.0,1.0,0.0,100.0,0.0
82,0.0,4.0,0.0,0.1,3.0,1.0,0.0,100.0,0.0
83,0.0,4.0,0.0,0.1,4.0,0.75,12.75,97.36570247933884,0.5
84,0.0,4.0,0.0,0.1,5.0,0.4,31.0,93.59504132231406,1.4
85,0.0,4.0,0.0,0.1,6.0,0.16666666666666666,74.16666666666667,84.67630853994491,3.0
86,0.0,4.0,0.0,0.1,7.0,0.0,115.28571428571429,76.18063754427392,4.571428571428571
87,0.0,4.0,0.0,0.1,8.0,0.0,115.75,76.08471074380165,5.0
88,0.0,4.0,0.0,0.1,9.0,0.0,114.22222222222223,76.40036730945822,5.0
89,0.0,4.0,0.0,0.1,10.0,0.0,114.0,76.44628099173553,4.8
90,0.0,4.0,0.0,0.1,11.0,0.0,117.0909090909091,75.8076634109692,5.0
91,0.0,4.0,0.0,0.1,12.0,0.0,113.25,76.60123966942149,4.666666666666667
92,0.0,4.0,0.0,0.1,13.0,0.0,115.3076923076923,76.17609663064208,4.846153846153846
93,0.0,4.0,0.0,0.1,14.0,0.0,114.78571428571429,76.28394332939789,4.214285714285714
94,0.0,4.0,0.0,0.1,15.0,0.0,113.26666666666667,76.59779614325068,5.133333333333334
95,0.0,4.0,0.0,0.1,16.0,0.0,120.9375,75.0129132231405,5.8125
96,0.0,4.0,0.0,0.1,17.0,0.0,119.52941176470588,75.30384054448224,5.764705882352941
97,0.0,4.0,0.0,0.1,18.0,0.0,120.55555555555556,75.09182736455465,5.333333333333333
98,0.0,4.0,0.0,0.1,19.0,0.0,120.42105263157895,75.1196172248804,6.315789473684211
99,0.0,4.0,0.0,0.1,20.0,0.0,123.25,74.53512396694215,5.45
